fluid_id,altura,tempo,concentracao,regime
6,23.0,26,0.0035206230376025453,0
6,23.0,27,0.0032265504577506667,0
6,23.0,28,0.0029558203194098628,0
6,23.0,29,0.0030910263901877013,0
6,23.0,33,0.002941167172343252,0
6,23.0,34,0.0034287014515598734,0
6,23.0,35,0.0033435245212975286,0
6,23.0,36,0.0032907860537495248,0
6,23.0,37,0.003430488075436482,0
6,23.0,40,0.003553063097191935,0
6,23.0,41,0.0032557521662827777,0
6,23.0,42,0.003093255330681098,0
6,23.0,43,0.0031905216907633627,0
6,23.0,44,0.0036141575654816635,0
6,23.0,47,0.004161430393529966,0
6,23.0,48,0.003394744719590781,1
6,23.0,49,0.003557826964747192,0
6,23.0,50,0.0035400556037749934,0
7,0.5,1,0.11919567933979962,1
7,0.5,2,0.14799053401132373,1
7,0.5,3,0.15519860241993508,1
7,0.5,5,0.15670231668361292,1
7,0.5,6,0.1576773740985079,1
7,0.5,7,0.15777645484398584,0
7,0.5,8,0.15605733730074978,1
7,0.5,9,0.1599623387986725,1
7,0.5,10,0.16079228710263435,1
7,0.5,12,0.16074430464053116,0
7,0.5,13,0.16065629059521236,0
7,0.5,14,0.16287360419916205,1
7,0.5,15,0.16211383335846322,1
7,0.5,16,0.1621322077672152,0
7,0.5,19,0.1627112681140587,0
7,0.5,20,0.1636007995545569,1
7,0.5,21,0.1635127794643018,0
7,0.5,22,0.16333842921316624,0
7,0.5,23,0.16313240115440425,0
7,0.5,26,0.1640479300775045,0
7,0.5,27,0.1635046509733943,1
7,0.5,28,0.16451904367914294,1
7,0.5,29,0.16648839637140073,1
7,0.5,33,0.16482154742650865,0
7,0.5,34,0.16398352920871143,1
7,0.5,35,0.16503477192485752,1
7,0.5,36,0.16746833800884978,1
7,0.5,37,0.166603952058555,1
7,0.5,40,0.16736476892920424,0
7,0.5,41,0.16888946927642925,1
7,0.5,42,0.16714005375694832,1
7,0.5,43,0.16746145639627194,0
7,0.5,44,0.1664885472924678,1
7,0.5,47,0.16790609961455924,0
7,0.5,48,0.16802946722619017,0
7,0.5,49,0.1737819069565243,1
7,0.5,50,0.16912414172818244,2
7,2.0,1,0.12038659239991582,1
7,2.0,2,0.14697351573918252,1
7,2.0,3,0.15342904182575587,1
7,2.0,5,0.1564516387087157,1
7,2.0,6,0.15861084700255038,1
7,2.0,7,0.1574057016830451,1
7,2.0,8,0.15501779851774902,2
7,2.0,9,0.15993704172298226,1
7,2.0,10,0.16225678053364875,1
7,2.0,12,0.16096236603834416,1
7,2.0,13,0.16020604927857396,1
7,2.0,14,0.1606613945569234,0
7,2.0,15,0.1624800819828537,1
7,2.0,16,0.16216957216926461,0
7,2.0,19,0.1621573808867505,0
7,2.0,20,0.1620824041558304,0
7,2.0,21,0.16338824478406033,1
7,2.0,22,0.16246896734530145,1
7,2.0,23,0.16195512093739287,1
7,2.0,26,0.16257492359008807,0
7,2.0,27,0.1621699674824952,0
7,2.0,28,0.16220050202185599,0
7,2.0,29,0.1628388666880507,1
7,2.0,33,0.1638411356750534,0
7,2.0,34,0.16223676161198852,1
7,2.0,35,0.1630867756852439,1
7,2.0,36,0.16323239236930562,0
7,2.0,37,0.16253834087776634,1
7,2.0,40,0.16347395953316424,0
7,2.0,41,0.16344792240955416,0
7,2.0,42,0.16277377857865688,1
7,2.0,43,0.16278712761041997,0
7,2.0,44,0.1643493537805951,1
7,2.0,47,0.16197296802532485,1
7,2.0,48,0.16279709091794145,1
7,2.0,49,0.1637890616920509,1
7,2.0,50,0.16504792143771954,1
7,4.0,1,0.11816494474361135,1
7,4.0,2,0.14574104620782963,1
7,4.0,3,0.1542642831504818,1
7,4.0,5,0.15772278158017525,1
7,4.0,6,0.15764311000178619,0
7,4.0,7,0.1578843075996839,0
7,4.0,8,0.1565912655436796,1
7,4.0,9,0.16111248458033986,1
7,4.0,10,0.16276790618359546,1
7,4.0,12,0.16294751078398353,0
7,4.0,13,0.16339570716001273,0
7,4.0,14,0.16324911714504184,0
7,4.0,15,0.16336061402952634,0
7,4.0,16,0.16449676423976237,1
7,4.0,19,0.1649733097077463,0
7,4.0,20,0.16402972549608982,1
7,4.0,21,0.1639009942561608,0
7,4.0,22,0.16431616768317778,0
7,4.0,23,0.16444214751584185,0
7,4.0,26,0.16521991121787089,0
7,4.0,27,0.16373408387244195,1
7,4.0,28,0.16348659585390965,0
7,4.0,29,0.164376919243992,1
7,4.0,33,0.1644159440868486,0
7,4.0,34,0.16489561584322673,0
7,4.0,35,0.16487023366220996,0
7,4.0,36,0.16455118990072853,0
7,4.0,37,0.16376222655436135,1
7,4.0,40,0.16472755530626781,0
7,4.0,41,0.1652404516793271,1
7,4.0,42,0.16675746214395545,1
7,4.0,43,0.16621065605867702,1
7,4.0,44,0.1655926556982703,1
7,4.0,47,0.16605418223460489,0
7,4.0,48,0.16493791614146866,1
7,4.0,49,0.16550921405447006,1
7,4.0,50,0.16662479389918342,1
7,8.0,1,0.11774826034261449,1
7,8.0,2,0.14628564808268052,1
7,8.0,3,0.15467157713428573,1
7,8.0,5,0.15985652920436388,1
7,8.0,6,0.15759249464349256,2
7,8.0,7,0.15974100173218062,1
7,8.0,8,0.15812539824246746,1
7,8.0,9,0.16200522742270065,1
7,8.0,10,0.16369478482724414,1
7,8.0,12,0.16542132495658066,1
7,8.0,13,0.163923671459142,1
7,8.0,14,0.16396470120808807,0
7,8.0,15,0.1637957495989936,0
7,8.0,16,0.16423780396790963,0
7,8.0,19,0.1650746220132286,0
7,8.0,20,0.1642956719618476,1
7,8.0,21,0.16518346562882705,1
7,8.0,22,0.1664445498532132,1
7,8.0,23,0.1650001764786039,1
7,8.0,26,0.16684489733441024,1
7,8.0,27,0.16465636202074305,2
7,8.0,28,0.16500778973899116,0
7,8.0,29,0.16677435059843593,1
7,8.0,33,0.1653338982603657,0
7,8.0,34,0.16627188454038627,1
7,8.0,35,0.16446310775367032,1
7,8.0,36,0.16689396268357062,1
7,8.0,37,0.1656815767125279,1
7,8.0,40,0.1669360800394232,0
7,8.0,41,0.16712065737413254,0
7,8.0,42,0.1660749756701633,1
7,8.0,43,0.16758251424440837,1
7,8.0,44,0.16632118426463996,1
7,8.0,47,0.1673710907204022,0
7,8.0,48,0.16715406273978164,0
7,8.0,49,0.1677214891664295,1
7,8.0,50,0.16742626940634933,0
7,12.0,1,0.11948634563930839,1
7,12.0,2,0.14496307181326756,1
7,12.0,3,0.15456748775145876,1
7,12.0,5,0.15948802729749054,1
7,12.0,6,0.15886391712228318,1
7,12.0,7,0.15947123528224208,1
7,12.0,8,0.15826508259618335,1
7,12.0,9,0.16056646721865617,1
7,12.0,10,0.16333114995829567,1
7,12.0,12,0.16569019841506247,1
7,12.0,13,0.16419143867833255,1
7,12.0,14,0.16550625870989305,1
7,12.0,15,0.16439765635767709,1
7,12.0,16,0.1642288290283999,0
7,12.0,19,0.1664146402209936,1
7,12.0,20,0.16526062676193018,1
7,12.0,21,0.16511020295555692,0
7,12.0,22,0.16606740170264014,1
